  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2018 321    5.10    7.19    6.49    7.87    7.01    5.46
2018 322    5.10    7.12    6.38    7.68    6.87    5.45
2018 323    5.06    7.08    6.26    7.55    6.74    5.43
2018 324    4.98    6.96    6.11    7.40    6.63    5.38
2018 325    4.88    6.85    5.97    7.24    6.47    5.00
2018 326    4.78    6.77    5.88    7.04    6.28    4.59
2018 327    4.73    6.70    5.76    6.93    6.14    4.32
2018 328    4.66    6.68    5.84    6.92    6.14    4.33
2018 329    4.62    6.65    5.81    6.88    6.14    4.39
2018 330    4.60    6.46    5.80    6.83    6.16    4.37
2018 331    4.57    6.35    5.71    6.73    6.14    4.28
2018 332    4.37    6.18    5.61    6.61    6.07    4.15
2018 333    4.21    5.71    5.47    6.49    6.03    3.88
2018 334    4.17    5.48    5.37    6.39    5.99    3.77
2018 335    4.10    5.29    5.31    6.43    5.97    3.93
2018 336    4.09    5.22    5.27    6.45    6.00    4.22
2018 337    4.06    5.11    5.23    6.35    5.93    4.09
2018 338    4.06    5.07    5.13    6.01    5.76    3.72
2018 339    4.14    5.08    5.01    5.70    5.74    3.43
2018 340    4.21    5.10    4.90    5.46    5.70    3.16
2018 341    4.15    5.07    4.80    5.29    5.65    2.99
2018 342    4.20    5.04    4.78    5.17    5.59    2.91
2018 343    4.22    5.04    4.74    5.07    5.58    2.97
2018 344    4.26    5.06    4.70    4.98    5.51    2.93
2018 345    4.29    5.08    4.69    4.93    5.44    2.98
2018 346    4.37    5.12    4.68    4.84    5.36    3.05
2018 347    4.40    5.16    4.68    4.75    5.35    3.08
2018 348    4.43    5.19    4.69    4.76    5.41    3.31
2018 349    4.49    5.23    4.72    4.80    5.37    3.47
2018 350    4.54    5.23    4.80    4.84    5.30    3.57
2018 351    4.49    5.15    4.79    4.80    5.22    3.65
2018 352    4.42    5.05    4.67    4.68    5.19    3.51
2018 353    4.39    5.06    4.55    4.64    5.23    3.38
2018 354    4.39    5.07    4.53    4.58    5.31    3.31
2018 355    4.34    5.06    4.55    4.59    5.30    3.35
2018 356    4.33    5.06    4.51    4.57    5.23    3.38
2018 357    4.31    4.98    4.42    4.53    5.15    3.39
2018 358    4.32    4.89    4.29    4.44    5.10    3.41
2018 359    4.31    4.75    4.21    4.32    5.02    3.41
2018 360    4.18    4.41    4.11    4.18    4.96    3.39
2018 361    3.99    4.17    3.98    4.10    4.88    3.29
2018 362    3.95    4.04    3.98    4.13    4.87    3.28
2018 363    3.70    4.03    3.95    4.07    4.76    3.25
2018 364    3.60    4.07    3.79    4.03    4.60    3.27
2018 365    3.53    4.07    3.77    4.01    4.51    3.28
