  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2004 356    4.17    4.39    3.61    3.92    4.61    0.20
2004 357    3.99    4.23    3.35    3.89    4.51    0.20
2004 358    4.01    4.35    3.48    3.76    4.49    0.20
2004 359    3.72    3.78    3.09    3.22    4.27    0.20
2004 360    3.65    3.63    3.04    2.98    4.16    0.20
2004 361    3.50    3.50    2.98    2.66    4.06    0.20
2004 362    3.13    3.53    3.00    2.57    4.05    0.20
2004 363    2.86    3.46    2.81    2.39    4.05    0.20
2004 364    2.81    3.49    2.87    2.44    4.04    0.20
2004 365    2.94    3.88    3.20    2.54    4.20    0.20
2004 366    2.75    3.66    3.01    2.53    4.04    0.20
